run_combo,n_models,blend_mode,temperature,weights,oof_macro_f1,submission_fp
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,1.0,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3583, 'baseline_convnext_tiny_img320_20260328_233846': 0.2118, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.4299}",0.9205210071094263,8d92fec70bca95021954ce1135628b4b
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,0.95,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3147, 'baseline_convnext_tiny_img320_20260328_233846': 0.2122, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.4731}",0.9205210071094263,f163a7f0c9f77d1a6610ac87faab9bc0
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,1.0,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3147, 'baseline_convnext_tiny_img320_20260328_233846': 0.2122, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.4731}",0.9205210071094263,f163a7f0c9f77d1a6610ac87faab9bc0
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,0.95,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3495, 'baseline_convnext_tiny_img320_20260328_233846': 0.298, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.3525}",0.9204197243311475,fad3d045380706976647d6b5d9441977
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,1.05,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3495, 'baseline_convnext_tiny_img320_20260328_233846': 0.298, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.3525}",0.9204197243311475,fad3d045380706976647d6b5d9441977
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,1.0,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3495, 'baseline_convnext_tiny_img320_20260328_233846': 0.298, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.3525}",0.9204197243311475,fad3d045380706976647d6b5d9441977
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,0.95,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.4518, 'baseline_convnext_tiny_img320_20260328_233846': 0.3058, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.2425}",0.9202158898574108,fad3d045380706976647d6b5d9441977
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,1.05,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.4518, 'baseline_convnext_tiny_img320_20260328_233846': 0.3058, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.2425}",0.9202158898574108,fad3d045380706976647d6b5d9441977
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,1.0,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.4518, 'baseline_convnext_tiny_img320_20260328_233846': 0.3058, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.2425}",0.9202158898574108,fad3d045380706976647d6b5d9441977
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,1.0,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.2309, 'baseline_convnext_tiny_img320_20260328_233846': 0.266, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.5031}",0.9201564093628051,2190ff126a0e719fac8fb6ecf03a3c4b
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,0.95,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.2309, 'baseline_convnext_tiny_img320_20260328_233846': 0.266, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.5031}",0.9201564093628051,2190ff126a0e719fac8fb6ecf03a3c4b
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,1.0,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.4842, 'baseline_convnext_tiny_img320_20260328_233846': 0.1567, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.3591}",0.9201321420924593,e23e3487f838359587337c519cf411dc
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,0.95,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3076, 'baseline_convnext_tiny_img320_20260328_233846': 0.125, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.5674}",0.9201199571687227,9e7e3f66ec52aa8b51c6cff77428208b
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,1.0,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3076, 'baseline_convnext_tiny_img320_20260328_233846': 0.125, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.5674}",0.9201199571687227,9e7e3f66ec52aa8b51c6cff77428208b
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,1.05,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3076, 'baseline_convnext_tiny_img320_20260328_233846': 0.125, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.5674}",0.9201199571687227,9e7e3f66ec52aa8b51c6cff77428208b
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,1.05,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.5, 'baseline_convnext_tiny_img320_20260328_233846': 0.2, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.3}",0.9200982470461834,adffeb7c9427081f9d21142ea6a01120
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,1.0,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.5, 'baseline_convnext_tiny_img320_20260328_233846': 0.2, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.3}",0.9200982470461834,adffeb7c9427081f9d21142ea6a01120
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,0.95,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.5044, 'baseline_convnext_tiny_img320_20260328_233846': 0.2145, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.2811}",0.9200982470461834,fad3d045380706976647d6b5d9441977
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,1.05,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.5044, 'baseline_convnext_tiny_img320_20260328_233846': 0.2145, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.2811}",0.9200982470461834,fad3d045380706976647d6b5d9441977
